Time,Token,Action,Address,Amount
2023-01-16 12:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2023-01-17 14:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,5000.0
2023-01-17 14:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,2184.0
2023-01-18 06:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,584.0
2023-01-18 10:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4044.0
2023-01-27 15:00,USDC,FROM,0xf5245992b5af764cba0afe352c7578b20c5e7cfe,500.0
2023-01-27 15:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,23167.0
2023-01-27 15:00,USDC,FROM,0x0c482919bbf8551c7be9b34e7e957f7183b5ba1e,2250.0
2023-01-27 15:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,22991.41128
2023-01-27 15:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,23164.0
2023-02-01 17:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,1960.0
2023-02-03 11:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,20465.68
2023-02-03 15:00,USDC,FROM,0x3a3a352a4173553cac9ca7467478597ce8fc93fa,8375.0
2023-02-03 17:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,200000.0
2023-02-05 11:00,USDC,FROM,0x3154677b603c2b30810b46a56b46892aa09d60e2,1199.0
2023-02-06 17:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,30874.0
2023-02-06 17:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,30639.6163
2023-02-06 18:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,1.0
2023-02-06 18:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,33332.96
2023-02-06 19:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,800.0
2023-02-13 10:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,4224.0
2023-02-15 19:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,18000.0
2023-02-15 19:00,USDC,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,18000.0
2023-02-15 20:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,18000.0
2023-02-15 20:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,17861.922876
2023-02-15 21:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,33456.52
2023-02-19 17:00,USDC,FROM,0xb104c36540604bc406a4d8510b1b82d30b5cdb78,22504.0
2023-02-19 17:00,USDC,FROM,0x20bf7dc4b28c1d7e0c0bc8f48d310d724743b9ad,5500.0
